#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1900.00   -0.008334    0.030853    0.074502    0.023040  99.9900000  99.9900000   -0.104700    0.000000   -0.023605    0.000000
   1900.05    0.036954    0.028115    0.023062    0.020415  99.9900000  99.9900000   -0.104703    0.000000   -0.023536    0.000000
   1900.10    0.048625    0.030583    0.012215    0.023910  99.9900000  99.9900000   -0.104620    0.000000   -0.022794    0.000000
   1900.15    0.030058    0.021685    0.001798    0.021694  99.9900000  99.9900000   -0.104597    0.000000   -0.021746    0.000000
   1900.20    0.028221    0.022862   -0.001642    0.021845  99.9900000  99.9900000   -0.104846    0.000000   -0.020317    0.000000
   1900.25   -0.002535    0.028022   -0.018529    0.023079  99.9900000  99.9900000   -0.105219    0.000000   -0.019252    0.000000
   1900.30   -0.007850    0.019950   -0.026500    0.020742  99.9900000  99.9900000   -0.105495    0.000000   -0.018466    0.000000
   1900.35   -0.058499    0.021348   -0.040658    0.020620  99.9900000  99.9900000   -0.105477    0.000000   -0.018323    0.000000
   1900.40   -0.064112    0.020573   -0.058527    0.018253  99.9900000  99.9900000   -0.105163    0.000000   -0.018435    0.000000
   1900.45   -0.072271    0.018510   -0.078110    0.019856  99.9900000  99.9900000   -0.104232    0.000000   -0.018638    0.000000
   1900.50   -0.034587    0.019194   -0.035000    0.017402  99.9900000  99.9900000   -0.103112    0.000000   -0.019063    0.000000
   1900.55   -0.038480    0.016897   -0.048402    0.019414  99.9900000  99.9900000   -0.101859    0.000000   -0.019063    0.000000
   1900.60   -0.062498    0.021674   -0.008399    0.019694  99.9900000  99.9900000   -0.100875    0.000000   -0.018949    0.000000
   1900.65   -0.081656    0.022413   -0.026016    0.021048  99.9900000  99.9900000   -0.100243    0.000000   -0.018929    0.000000
   1900.70   -0.080306    0.019374    0.003015    0.019940  99.9900000  99.9900000   -0.100126    0.000000   -0.018969    0.000000
   1900.75   -0.072777    0.020453    0.052624    0.020011  99.9900000  99.9900000   -0.100372    0.000000   -0.019374    0.000000
   1900.80   -0.083561    0.021643    0.052057    0.018455  99.9900000  99.9900000   -0.100989    0.000000   -0.019951    0.000000
   1900.85   -0.091359    0.028259    0.106126    0.022968  99.9900000  99.9900000   -0.101866    0.000000   -0.020573    0.000000
   1900.90   -0.072961    0.026385    0.122022    0.023368  99.9900000  99.9900000   -0.102536    0.000000   -0.021441    0.000000
   1900.95   -0.003246    0.022085    0.110767    0.022653  99.9900000  99.9900000   -0.103128    0.000000   -0.022033    0.000000
   1901.00   -0.008990    0.025494    0.105995    0.024579  99.9900000  99.9900000   -0.103259    0.000000   -0.022646    0.000000
   1901.05   -0.002094    0.022839    0.132403    0.025585  99.9900000  99.9900000   -0.103330    0.000000   -0.022225    0.000000
   1901.10    0.020833    0.028305    0.092588    0.024086  99.9900000  99.9900000   -0.103094    0.000000   -0.021779    0.000000
   1901.15    0.018392    0.027953    0.103694    0.021513  99.9900000  99.9900000   -0.103122    0.000000   -0.020546    0.000000
   1901.20    0.056921    0.023553    0.110383    0.021222  99.9900000  99.9900000   -0.103352    0.000000   -0.019188    0.000000
   1901.25    0.043543    0.022001    0.065058    0.021957  99.9900000  99.9900000   -0.103650    0.000000   -0.018075    0.000000
   1901.30    0.061390    0.018372    0.062932    0.019516  99.9900000  99.9900000   -0.103901    0.000000   -0.017452    0.000000
   1901.35    0.102819    0.019188    0.037866    0.019404  99.9900000  99.9900000   -0.103893    0.000000   -0.017216    0.000000
   1901.40    0.082084    0.018702   -0.035295    0.021218  99.9900000  99.9900000   -0.103375    0.000000   -0.017403    0.000000
   1901.45    0.122455    0.017651   -0.030944    0.017567  99.9900000  99.9900000   -0.102559    0.000000   -0.017708    0.000000
